APPLICATION_USER_ID	LAT	LNG	CREATED_AT	COUNTRY	MICRO_ZONE_ID
207452634	32.514674900000	-117.017956000000	2019-08-25 23:44:03.000000000	MX	415
202116110	19.402508000000	-99.176227000000	2018-09-07 21:56:24.000000000	MX	133
254977413	20.624939000000	-100.407350000000	2019-05-04 13:00:07.000000000	MX	355
278699686	25.666613000000	-100.320099900000	2019-11-13 23:22:01.000000000	MX	384
289078456	25.703774500000	-100.261721300000	2019-12-14 08:20:08.000000000	MX	382
251773545	19.343829000000	-99.149355600000	2019-10-30 10:34:32.000000000	MX	143
238521423	19.029786000000	-98.200835000000	2019-11-22 11:32:45.000000000	MX	410
296566849	20.666192100000	-103.367440500000	2019-07-14 10:32:58.000000000	MX	395
295494508	20.983860000000	-89.638106000000	2019-05-25 19:53:53.000000000	MX	184
203736734	20.695589000000	-103.366671000000	2019-02-26 10:10:04.000000000	MX	157
285056125	21.922657921784	-102.315438129010	2019-05-02 23:54:06.000000000	MX	212
26384765	20.681357947274	-103.367133960130	2017-06-07 15:31:35.000000000	MX	395
26801497	21.131358330293	-101.700188666580	2019-02-10 03:55:27.000000000	MX	216
238955961	21.881889807629	-102.283293865620	2019-12-03 22:35:37.000000000	MX	214
246896293	19.398853000000	-99.159358000000	2020-01-07 14:15:48.000000000	MX	136
288171990	20.691953683702	-103.367985896770	2019-10-03 11:52:51.000000000	MX	157
203175611	19.362241000000	-99.281973000000	2019-06-14 17:09:23.000000000	MX	127
236256806	20.641445300000	-100.414621300000	2019-06-27 18:36:08.000000000	MX	355
11100266	19.364564000000	-99.182074000000	2019-12-09 17:41:45.000000000	MX	142
221482750	19.335002270279	-99.147428423166	2018-10-04 15:39:54.000000000	MX	143
283328827	18.986182246323	-98.274636939168	2019-01-16 17:01:02.000000000	MX	
213643874	19.040607810377	-98.206408247352	2019-02-23 06:27:15.000000000	MX	410
231724609	19.380702555502	-99.157528951764	2018-11-06 17:46:32.000000000	MX	137
21531284	19.503257203906	-99.256349243224	2017-07-31 06:54:59.000000000	MX	191
208899456	24.842969000000	-107.387861100000	2019-11-29 17:48:25.000000000	MX	347
291123390	20.636661781343	-103.379081524910	2019-02-12 18:36:42.000000000	MX	393
209038341	19.081017700000	-98.185278800000	2019-12-12 23:18:24.000000000	MX	411
288039477	19.433237900000	-99.249010400000	2020-01-16 17:00:53.000000000	MX	190
258005987	21.170998100000	-86.845669900000	2019-09-22 16:37:51.000000000	MX	230
25697094	19.427568000000	-99.175470000000	2018-11-05 00:21:07.000000000	MX	131
236480137	20.654376742532	-103.326623551550	2019-09-04 16:14:18.000000000	MX	400
242229630	20.536076000000	-100.443750000000	2019-03-06 19:58:56.000000000	MX	266
214049383	19.436075541564	-99.212179966271	2019-03-06 14:47:47.000000000	MX	129
